ProteinName,Run,HP,LP,log2LP/HP
A0A0R0GEJ0,2,3177935513.0,3712603642.8,0.22434145176827905
A0A0R0GEJ0,3,3192769321.9,3724366998.3,0.22218692102841614
A0A0R0GEV0,1,10349637246.0,8623072117.8,-0.2633063513227483
A0A0R0GEV0,2,10931375688.75,8035296012.05,-0.4440518949273376
A0A0R0GEV0,3,10554209550.0,9348459861.0,-0.17501792438318053
A0A0R0GF16,1,547795825.4,778526537.0,0.5071079444067547
A0A0R0GF16,2,628077346.84,871712487.66,0.47291014102884
A0A0R0GF16,3,588365739.7,798516801.2,0.4406095215064826
A0A0R0GFW6,1,73184015883.8,93654888383.8,0.35582571494821763
A0A0R0GFW6,2,71296715630.07,92727623434.1,0.3791635610896616
A0A0R0GFW6,3,72311553191.3,94663049413.1,0.38857523238370373
A0A0R0GGF0,1,1630555821.0,2919809560.5,0.8405104432568774
A0A0R0GGF0,2,1775376807.5,2315883876.0,0.38343765898206417
A0A0R0GGF0,3,2097151134.3,2458400331.0,0.22928903115438157
A0A0R0GHN2,1,569105731.3,401359162.5,-0.5038028757058237
A0A0R0GHN2,2,716919021.3,430388229.7,-0.7361715468316223
A0A0R0GHN2,3,648338079.0,449077437.5,-0.529782069359806
A0A0R0GMQ7,1,408985314.0,269641126.0,-0.6010084843111145
A0A0R0GMQ7,2,298368246.0,273992566.0,-0.1229572538347503
A0A0R0GMQ7,3,277487930.0,303304733.0,0.12834299169682245
A0A0R0GPB1,1,365061765.1,669247139.6,0.8743984923159619
A0A0R0GPB1,2,341029527.8,808904601.0,1.2460729075718036
A0A0R0GPB1,3,300238050.56,733350243.94,1.288395557985922
A0A0R0GPD7,1,789005393.28,613286366.0,-0.36347428316668967
A0A0R0GPD7,2,756934543.7,639272966.0,-0.243736462331701
A0A0R0GPD7,3,782365624.0,579560507.5,-0.43288369187511266
A0A0R0GR76,1,401638656.5,208362180.5,-0.9468046909711475
A0A0R0GR76,2,248992182.0,240669161.0,-0.04904915564545867
A0A0R0GR76,3,375338993.0,221596107.5,-0.7602616362766481
A0A0R0GRY6,1,3447314272.0,1250268962.4,-1.4632343409156068
A0A0R0GRY6,2,3195581028.3,1888627663.9,-0.7587399616773587
A0A0R0GRY6,3,2353546577.3,1892343301.8,-0.31466256389464087
A0A0R0GT85,1,91308704.0,97563862.0,0.09559447574482427
A0A0R0GT85,2,70042462.0,105012750.0,0.5842628009941512
A0A0R0GT85,3,47615527.0,108707840.0,1.1909519857656565
A0A0R0GUZ3,1,27745820.0,14863084.0,-0.9005369436008224
A0A0R0GUZ3,2,19004260.0,26970198.0,0.5050432633529662
A0A0R0GUZ3,3,36541136.0,20460800.0,-0.8366589311841148
A0A0R0GW87,1,3020773896.0,3216659672.0,0.09064510167909307
A0A0R0GW87,2,3074256439.5,3101251865.0,0.012613185069275097
A0A0R0GW87,3,2949514804.0,2824964077.5,-0.06224512805632373
A0A0R0GWM0,1,1868248384.5,836087596.5,-1.1599602689713664
A0A0R0GWM0,2,1922620392.0,925116107.0,-1.0553675926929826
A0A0R0GWM0,3,1781315349.0,757406987.5,-1.2338023055154739
A0A0R0GXN6,1,7133726855.05,5298167796.0,-0.4291624417645892
A0A0R0GXN6,2,8146242393.2,5706996997.9,-0.5134029385807488
A0A0R0GXN6,3,7111267763.440001,4802092429.2,-0.5664436072873561
A0A0R0GYC5,1,1097294414.0,419239749.0,-1.3881032523713563
A0A0R0GYC5,2,1144878504.0,402510011.0,-1.5080979350895538
A0A0R0GYC5,3,919306360.0,386019804.0,-1.2518708575053077
A0A0R0GYG1,1,6331463741.25,10462036196.0,0.7245526933071409
A0A0R0GYG1,2,5646745187.32,7738001004.5,0.4545413857326595
A0A0R0GYG1,3,5710152789.5,8539077320.5,0.5805508405896108
A0A0R0GYV0,1,676346720.0,244183782.0,-1.4697956304828856
A0A0R0GYV0,2,716336430.0,268558998.0,-1.415398254175145
A0A0R0GYV0,3,505445884.0,242350770.0,-1.060459970745391
A0A0R0GZE2,1,31591526.5,29722942.5,-0.08796070338202094
A0A0R0GZE2,2,28023466.0,5166091.5,-2.439490300995517
A0A0R0GZE2,3,9814338.0,11480606.7,0.22623602123094677
A0A0R0H0I8,1,685960425.1,808522942.8,0.23716336662148463
A0A0R0H0I8,2,691788816.5,668116134.0,-0.05023279302035439
A0A0R0H0I8,3,623074571.3,893021567.1,0.5192901785257229
A0A0R0H0K3,1,390944775.0,266138820.2,-0.5547858626353462
A0A0R0H0K3,2,406724130.5,246755016.0,-0.7209711749915675
A0A0R0H0K3,3,450840721.2,253088515.5,-0.8329757864857802
A0A0R0H141,1,203667968.0,59138120.0,-1.7840588113850906
A0A0R0H141,2,126649018.6,60124533.5,-1.0748101973688027
A0A0R0H141,3,130751735.0,73782524.8,-0.8254790270577436
